"ID","ID"
"Name","Name"
"Email","Email"
"Telephone","Telephone"
"Comment","Comment"
"Store View","Store View"
"Created","Created"
"Delete","Delete"
"Are you sure?","Are you sure?"
"Re-send Original","Re-send Original"
"Contacts","Contacts"
"Manage Contacts","Manage Contacts"
"Please select item(s)","Please select item(s)"
"Total of %d contact(s) were successfully deleted","Total of %d contact(s) were successfully deleted"
"Total of %d contact(s) were successfully sended","Total of %d contact(s) were successfully sended"
"Keep Contacts Settings","Keep Contacts Settings"
"Enable","Enable"
"Enable module.","Enable module."
"Are you sure you want to send answer email to customer?","Are you sure you want to send answer email to customer?"
"Send Answer","Send Answer"
"Save Contact","Save Contact"
"Save and Continue Edit","Save and Continue Edit"
"Delete Contact","Delete Contact"
"Contact from '%s'","Contact from '%s'"
"Answered","Answered"
"Action","Action"
"Answer","Answer"
"Contact Info","Contact Info"
"Contact does not exist.","Contact does not exist."
"Answer Contact from '%s'","Answer Contact from '%s'"
"Contact has been saved.","Contact has been saved."
"An error occurred while saving contact.","An error occurred while saving contact."
"Invalid contact data.","Invalid contact data."
"Answer was successfully sent.","Answer was successfully sent."
"An error occurred while sending answer.","An error occurred while sending answer."
"Unable to find contact.","Unable to find contact."
"The contact has been deleted.","The contact has been deleted."
"An error occurred while deleting the contact.","An error occurred while deleting the contact."
"Please select item(s)","Please select item(s)"
"Total of %d contact(s) were successfully sent","Total of %d contact(s) were successfully sent"